file,tutorialEnglish,sectionEnglish,tutorialId,sectionId,tutorialTitleKr,sectionTitle,originalFile
015_Attention-Is-All-You-Need__Practice-Code-1-Paper-Core-Scaled-Dot-Product-Attention-Implementation.ipynb,Attention Is All You Need,Practice-Code-1-Paper-Core-Scaled-Dot-Product-Attention-Implementation,expand-attention-is-all-you-need,expand-attention-is-all-you-need-code-1,Attention Is All You Need,실습 코드 1: 논문 핵심: Scaled Dot-Product Attention 구현,015_expand-attention-is-all-you-need_expand-attention-is-all-you-need-code-1_Attention_Is_All_You_Need_-_실습_코드_1-_논문_핵심-_Scaled_Dot-Product_Attention_구현.ipynb
016_Attention-Is-All-You-Need__Practice-Code-2-Paper-Reproduction-WMT-Transformer-Training.ipynb,Attention Is All You Need,Practice-Code-2-Paper-Reproduction-WMT-Transformer-Training,expand-attention-is-all-you-need,expand-attention-is-all-you-need-code-2,Attention Is All You Need,실습 코드 2: 논문 재현: WMT 번역 데이터로 Transformer 학습,016_expand-attention-is-all-you-need_expand-attention-is-all-you-need-code-2_Attention_Is_All_You_Need_-_실습_코드_2-_논문_재현-_WMT_번역_데이터로_Transformer_학습.ipynb
017_BERT-Pre-training-of-Deep-Bidirectional-Transformers__Practice-Code-1-BERT-MLM-Fine-Tuning-HuggingFace.ipynb,BERT: Pre-training of Deep Bidirectional Transformers,Practice-Code-1-BERT-MLM-Fine-Tuning-HuggingFace,expand-bert-paper,expand-bert-paper-code-1,BERT: Pre-training of Deep Bidirectional Transformers,실습 코드 1: BERT MLM 파인튜닝 (HuggingFace),017_expand-bert-paper_expand-bert-paper-code-1_BERT-_Pre-training_of_Deep_Bidirectional_Transformers_-_실습_코드_1-_BERT_MLM_파인튜닝_(HuggingFace).ipynb
018_BERT-Pre-training-of-Deep-Bidirectional-Transformers__Practice-Code-2-BERT-Text-Classification-Fine-Tuning-SST-2-Analysis.ipynb,BERT: Pre-training of Deep Bidirectional Transformers,Practice-Code-2-BERT-Text-Classification-Fine-Tuning-SST-2-Analysis,expand-bert-paper,expand-bert-paper-code-2,BERT: Pre-training of Deep Bidirectional Transformers,실습 코드 2: BERT로 텍스트 분류 파인튜닝 (SST-2 감정분석),018_expand-bert-paper_expand-bert-paper-code-2_BERT-_Pre-training_of_Deep_Bidirectional_Transformers_-_실습_코드_2-_BERT로_텍스트_분류_파인튜닝_(SST-2_감정분석).ipynb
019_BERT-Pre-training-of-Deep-Bidirectional-Transformers__Practice-Code-3-BERT-Embedding-Sentence-Similarity-Calculation.ipynb,BERT: Pre-training of Deep Bidirectional Transformers,Practice-Code-3-BERT-Embedding-Sentence-Similarity-Calculation,expand-bert-paper,expand-bert-paper-code-3,BERT: Pre-training of Deep Bidirectional Transformers,실습 코드 3: BERT 임베딩으로 문장 유사도 계산,019_expand-bert-paper_expand-bert-paper-code-3_BERT-_Pre-training_of_Deep_Bidirectional_Transformers_-_실습_코드_3-_BERT_임베딩으로_문장_유사도_계산.ipynb
020_GPT-Model__Practice-Code-1-GPT-2-Zero-shot-Few-shot.ipynb,GPT 시리즈: 언어모델의 스케일링,Practice-Code-1-GPT-2-Zero-shot-Few-shot,expand-gpt-series,expand-gpt-series-code-1,GPT 시리즈: 언어모델의 스케일링,실습 코드 1: GPT-2로 Zero-shot / Few-shot 프롬프팅,020_expand-gpt-series_expand-gpt-series-code-1_GPT_시리즈-_언어모델의_스케일링_-_실습_코드_1-_GPT-2로_Zero-shot_-_Few-shot_프롬프팅.ipynb
021_GPT-Model__Practice-Code-2-OpenAI-API-GPT-4-Few-shot-plus-RLHF.ipynb,GPT 시리즈: 언어모델의 스케일링,Practice-Code-2-OpenAI-API-GPT-4-Few-shot-plus-RLHF,expand-gpt-series,expand-gpt-series-code-2,GPT 시리즈: 언어모델의 스케일링,실습 코드 2: OpenAI API로 GPT-4 Few-shot + RLHF 체험,021_expand-gpt-series_expand-gpt-series-code-2_GPT_시리즈-_언어모델의_스케일링_-_실습_코드_2-_OpenAI_API로_GPT-4_Few-shot_+_RLHF_체험.ipynb
022_GPT-Model__Practice-Code-3-GPT-Style-Model-Training-Loop-PyTorch.ipynb,GPT 시리즈: 언어모델의 스케일링,Practice-Code-3-GPT-Style-Model-Training-Loop-PyTorch,expand-gpt-series,expand-gpt-series-code-3,GPT 시리즈: 언어모델의 스케일링,실습 코드 3: GPT 스타일 언어모델 학습 루프 (PyTorch),022_expand-gpt-series_expand-gpt-series-code-3_GPT_시리즈-_언어모델의_스케일링_-_실습_코드_3-_GPT_스타일_언어모델_학습_루프_(PyTorch).ipynb
023_Scaling-Laws-Model-Size-Laws__Practice-Code-1-Scaling-Laws-Parameter-Count-vs-Loss-Simulation.ipynb,Scaling Laws: 모델 크기의 법칙,Practice-Code-1-Scaling-Laws-Parameter-Count-vs-Loss-Simulation,expand-scaling-laws,expand-scaling-laws-code-1,Scaling Laws: 모델 크기의 법칙,실습 코드 1: Scaling Laws 실험: 파라미터 수 vs Loss 시뮬레이션,023_expand-scaling-laws_expand-scaling-laws-code-1_Scaling_Laws-_모델_크기의_법칙_-_실습_코드_1-_Scaling_Laws_실험-_파라미터_수_vs_Loss_시뮬레이션.ipynb
024_Scaling-Laws-Model-Size-Laws__Practice-Code-2-Real-Model-Scaling-Law.ipynb,Scaling Laws: 모델 크기의 법칙,Practice-Code-2-Real-Model-Scaling-Law,expand-scaling-laws,expand-scaling-laws-code-2,Scaling Laws: 모델 크기의 법칙,실습 코드 2: 실제 모델로 Scaling Law 검증 실험,024_expand-scaling-laws_expand-scaling-laws-code-2_Scaling_Laws-_모델_크기의_법칙_-_실습_코드_2-_실제_모델로_Scaling_Law_검증_실험.ipynb
025_FlashAttention-IO-Aware-Attention__Practice-Code-1-FlashAttention-Usage-PyTorch.ipynb,FlashAttention: IO-Aware Attention,Practice-Code-1-FlashAttention-Usage-PyTorch,expand-flash-attention,expand-flash-attention-code-1,FlashAttention: IO-Aware Attention,실습 코드 1: FlashAttention 사용법 (PyTorch),025_expand-flash-attention_expand-flash-attention-code-1_FlashAttention-_IO-Aware_Attention_-_실습_코드_1-_FlashAttention_사용법_(PyTorch).ipynb
026_FlashAttention-IO-Aware-Attention__Practice-Code-2-FlashAttention-Tiling-Principles-Implementation-NumPy.ipynb,FlashAttention: IO-Aware Attention,Practice-Code-2-FlashAttention-Tiling-Principles-Implementation-NumPy,expand-flash-attention,expand-flash-attention-code-2,FlashAttention: IO-Aware Attention,실습 코드 2: FlashAttention Tiling 원리 구현 (NumPy),026_expand-flash-attention_expand-flash-attention-code-2_FlashAttention-_IO-Aware_Attention_-_실습_코드_2-_FlashAttention_Tiling_원리_구현_(NumPy).ipynb
027_LoRA-Low-Rank-Adaptation__Practice-Code-1-LoRA-Implementation-PEFT.ipynb,LoRA: Low-Rank Adaptation,Practice-Code-1-LoRA-Implementation-PEFT,expand-lora,expand-lora-code-1,LoRA: Low-Rank Adaptation,실습 코드 1: LoRA 구현 및 적용 (PEFT),027_expand-lora_expand-lora-code-1_LoRA-_Low-Rank_Adaptation_-_실습_코드_1-_LoRA_구현_및_적용_(PEFT).ipynb
028_LoRA-Low-Rank-Adaptation__Practice-Code-2-LoRA-From-Scratch-Implementation-PyTorch.ipynb,LoRA: Low-Rank Adaptation,Practice-Code-2-LoRA-From-Scratch-Implementation-PyTorch,expand-lora,expand-lora-code-2,LoRA: Low-Rank Adaptation,실습 코드 2: LoRA 모듈을 직접 구현하기 (PyTorch),028_expand-lora_expand-lora-code-2_LoRA-_Low-Rank_Adaptation_-_실습_코드_2-_LoRA_모듈을_직접_구현하기_(PyTorch).ipynb
029_Model-Quantization-Quantization__Practice-Code-1-AWQ-Quantization-Model-Inference.ipynb,모델 양자화 (Quantization),Practice-Code-1-AWQ-Quantization-Model-Inference,expand-quantization,expand-quantization-code-1,모델 양자화 (Quantization),실습 코드 1: AWQ 양자화 모델 로드 및 추론,029_expand-quantization_expand-quantization-code-1_모델_양자화_(Quantization)_-_실습_코드_1-_AWQ_양자화_모델_로드_및_추론.ipynb
030_Model-Quantization-Quantization__Practice-Code-2-From-Scratch-Implementation-Min-Max-Affine-Quantization.ipynb,모델 양자화 (Quantization),Practice-Code-2-From-Scratch-Implementation-Min-Max-Affine-Quantization,expand-quantization,expand-quantization-code-2,모델 양자화 (Quantization),실습 코드 2: 직접 구현: Min-Max / Affine 양자화,030_expand-quantization_expand-quantization-code-2_모델_양자화_(Quantization)_-_실습_코드_2-_직접_구현-_Min-Max_-_Affine_양자화.ipynb
031_RLHF-Training__Practice-Code-1-RLHF-Reward-Model-Training-TRL.ipynb,RLHF: 인간 피드백 기반 강화학습,Practice-Code-1-RLHF-Reward-Model-Training-TRL,expand-rlhf,expand-rlhf-code-1,RLHF: 인간 피드백 기반 강화학습,실습 코드 1: RLHF Reward Model 학습 (TRL),031_expand-rlhf_expand-rlhf-code-1_RLHF-_인간_피드백_기반_강화학습_-_실습_코드_1-_RLHF_Reward_Model_학습_(TRL).ipynb
032_RLHF-Training__Practice-Code-2-RLHF-Full-Pipeline-Implementation-SFT-to-RM-to-PPO.ipynb,RLHF: 인간 피드백 기반 강화학습,Practice-Code-2-RLHF-Full-Pipeline-Implementation-SFT-to-RM-to-PPO,expand-rlhf,expand-rlhf-code-2,RLHF: 인간 피드백 기반 강화학습,실습 코드 2: RLHF 전체 파이프라인 구현 (SFT → RM → PPO),032_expand-rlhf_expand-rlhf-code-2_RLHF-_인간_피드백_기반_강화학습_-_실습_코드_2-_RLHF_전체_파이프라인_구현_(SFT_→_RM_→_PPO).ipynb
033_DPO-Direct-Preference-Optimization__Practice-Code-1-DPO-Training-TRL.ipynb,DPO: Direct Preference Optimization,Practice-Code-1-DPO-Training-TRL,expand-dpo,expand-dpo-code-1,DPO: Direct Preference Optimization,실습 코드 1: DPO 학습 (TRL),033_expand-dpo_expand-dpo-code-1_DPO-_Direct_Preference_Optimization_-_실습_코드_1-_DPO_학습_(TRL).ipynb
034_DPO-Direct-Preference-Optimization__Practice-Code-2-DPO-Loss-From-Scratch-Implementation-PyTorch.ipynb,DPO: Direct Preference Optimization,Practice-Code-2-DPO-Loss-From-Scratch-Implementation-PyTorch,expand-dpo,expand-dpo-code-2,DPO: Direct Preference Optimization,실습 코드 2: DPO Loss 직접 구현 (PyTorch),034_expand-dpo_expand-dpo-code-2_DPO-_Direct_Preference_Optimization_-_실습_코드_2-_DPO_Loss_직접_구현_(PyTorch).ipynb
035_Constitutional-AI-Constitutional-AI__Practice-Code-1-Constitutional-AI-Self-Critique-Implementation.ipynb,Constitutional AI: 헌법적 AI,Practice-Code-1-Constitutional-AI-Self-Critique-Implementation,expand-constitutional-ai,expand-constitutional-ai-code-1,Constitutional AI: 헌법적 AI,실습 코드 1: Constitutional AI Self-Critique 구현,035_expand-constitutional-ai_expand-constitutional-ai-code-1_Constitutional_AI-_헌법적_AI_-_실습_코드_1-_Constitutional_AI_Self-Critique_구현.ipynb
036_Constitutional-AI-Constitutional-AI__Practice-Code-2-RLAIF-AI-Feedback-Model-Training.ipynb,Constitutional AI: 헌법적 AI,Practice-Code-2-RLAIF-AI-Feedback-Model-Training,expand-constitutional-ai,expand-constitutional-ai-code-2,Constitutional AI: 헌법적 AI,실습 코드 2: RLAIF: AI 피드백으로 보상 모델 학습,036_expand-constitutional-ai_expand-constitutional-ai-code-2_Constitutional_AI-_헌법적_AI_-_실습_코드_2-_RLAIF-_AI_피드백으로_보상_모델_학습.ipynb
037_Mixture-of-Experts-MoE__Practice-Code-1-MoE-Layer-Implementation-PyTorch.ipynb,Mixture of Experts (MoE),Practice-Code-1-MoE-Layer-Implementation-PyTorch,expand-moe,expand-moe-code-1,Mixture of Experts (MoE),실습 코드 1: MoE Layer 구현 (PyTorch),037_expand-moe_expand-moe-code-1_Mixture_of_Experts_(MoE)_-_실습_코드_1-_MoE_Layer_구현_(PyTorch).ipynb
038_Mixture-of-Experts-MoE__Practice-Code-2-MoE-Load-Balancing-and-Routing-Analysis.ipynb,Mixture of Experts (MoE),Practice-Code-2-MoE-Load-Balancing-and-Routing-Analysis,expand-moe,expand-moe-code-2,Mixture of Experts (MoE),실습 코드 2: MoE Load Balancing & 라우팅 분석,038_expand-moe_expand-moe-code-2_Mixture_of_Experts_(MoE)_-_실습_코드_2-_MoE_Load_Balancing_&_라우팅_분석.ipynb
039_Mamba-State-Space-Model__Practice-Code-1-Mamba-Model-Usage-mamba-ssm.ipynb,Mamba: State Space Model,Practice-Code-1-Mamba-Model-Usage-mamba-ssm,expand-mamba-ssm,expand-mamba-ssm-code-1,Mamba: State Space Model,실습 코드 1: Mamba 모델 사용 (mamba-ssm),039_expand-mamba-ssm_expand-mamba-ssm-code-1_Mamba-_State_Space_Model_-_실습_코드_1-_Mamba_모델_사용_(mamba-ssm).ipynb
040_Mamba-State-Space-Model__Practice-Code-2-SSM-State-Space-Model-From-Scratch-Implementation.ipynb,Mamba: State Space Model,Practice-Code-2-SSM-State-Space-Model-From-Scratch-Implementation,expand-mamba-ssm,expand-mamba-ssm-code-2,Mamba: State Space Model,실습 코드 2: SSM (State Space Model) 직접 구현,040_expand-mamba-ssm_expand-mamba-ssm-code-2_Mamba-_State_Space_Model_-_실습_코드_2-_SSM_(State_Space_Model)_직접_구현.ipynb
041_KV-Cache-and-Inference__Practice-Code-1-vLLM-Usage-Inference.ipynb,KV Cache & 추론 최적화,Practice-Code-1-vLLM-Usage-Inference,expand-kv-cache,expand-kv-cache-code-1,KV Cache & 추론 최적화,실습 코드 1: vLLM을 사용한 최적화 추론,041_expand-kv-cache_expand-kv-cache-code-1_KV_Cache_&_추론_최적화_-_실습_코드_1-_vLLM을_사용한_최적화_추론.ipynb
042_KV-Cache-and-Inference__Practice-Code-2-KV-Cache-From-Scratch-Implementation-Memory-Analysis.ipynb,KV Cache & 추론 최적화,Practice-Code-2-KV-Cache-From-Scratch-Implementation-Memory-Analysis,expand-kv-cache,expand-kv-cache-code-2,KV Cache & 추론 최적화,실습 코드 2: KV Cache 직접 구현 및 메모리 분석,042_expand-kv-cache_expand-kv-cache-code-2_KV_Cache_&_추론_최적화_-_실습_코드_2-_KV_Cache_직접_구현_및_메모리_분석.ipynb
043_Speculative-Decoding__Practice-Code-1-Speculative-Decoding-vLLM.ipynb,Speculative Decoding,Practice-Code-1-Speculative-Decoding-vLLM,expand-speculative-decoding,expand-speculative-decoding-code-1,Speculative Decoding,실습 코드 1: Speculative Decoding (vLLM),043_expand-speculative-decoding_expand-speculative-decoding-code-1_Speculative_Decoding_-_실습_코드_1-_Speculative_Decoding_(vLLM).ipynb
044_Speculative-Decoding__Practice-Code-2-Speculative-Decoding-Principles-Implementation-PyTorch.ipynb,Speculative Decoding,Practice-Code-2-Speculative-Decoding-Principles-Implementation-PyTorch,expand-speculative-decoding,expand-speculative-decoding-code-2,Speculative Decoding,실습 코드 2: Speculative Decoding 원리 구현 (순수 PyTorch),044_expand-speculative-decoding_expand-speculative-decoding-code-2_Speculative_Decoding_-_실습_코드_2-_Speculative_Decoding_원리_구현_(순수_PyTorch).ipynb
045_RAG-Retrieval-Augmented-Generation__Practice-Code-1-RAG-Implementation-LangChain.ipynb,RAG: 검색증강생성 완전 가이드,Practice-Code-1-RAG-Implementation-LangChain,expand-rag-fundamentals,expand-rag-fundamentals-code-1,RAG: 검색증강생성 완전 가이드,실습 코드 1: RAG 시스템 구현 (LangChain),045_expand-rag-fundamentals_expand-rag-fundamentals-code-1_RAG-_검색증강생성_완전_가이드_-_실습_코드_1-_RAG_시스템_구현_(LangChain).ipynb
046_RAG-Retrieval-Augmented-Generation__Practice-Code-2-Python-RAG-Implementation.ipynb,RAG: 검색증강생성 완전 가이드,Practice-Code-2-Python-RAG-Implementation,expand-rag-fundamentals,expand-rag-fundamentals-code-2,RAG: 검색증강생성 완전 가이드,실습 코드 2: 순수 Python으로 RAG 시스템 구현 (라이브러리 없이),046_expand-rag-fundamentals_expand-rag-fundamentals-code-2_RAG-_검색증강생성_완전_가이드_-_실습_코드_2-_순수_Python으로_RAG_시스템_구현_(라이브러리_없이).ipynb
047_Agentic-RAG-Agentic-RAG__Practice-Code-1-Agentic-RAG-Implementation-Simplified.ipynb,Agentic RAG: 에이전트 기반 RAG,Practice-Code-1-Agentic-RAG-Implementation-Simplified,expand-agentic-rag,expand-agentic-rag-code-1,Agentic RAG: 에이전트 기반 RAG,실습 코드 1: Agentic RAG 구현 (간략화),047_expand-agentic-rag_expand-agentic-rag-code-1_Agentic_RAG-_에이전트_기반_RAG_-_실습_코드_1-_Agentic_RAG_구현_(간략화).ipynb
048_Attention-From-Scratch-Implementation__Practice-Code-1-Complete-Self-Attention-Implementation.ipynb,Attention 메커니즘 직접 구현,Practice-Code-1-Complete-Self-Attention-Implementation,expand-attention-from-scratch,expand-attention-from-scratch-code-1,Attention 메커니즘 직접 구현,실습 코드 1: 완전한 Self-Attention 구현,048_expand-attention-from-scratch_expand-attention-from-scratch-code-1_Attention_메커니즘_직접_구현_-_실습_코드_1-_완전한_Self-Attention_구현.ipynb
049_Transformer-Block-Implementation__Practice-Code-1-Complete-Transformer-Encoder.ipynb,Transformer Block 완전 구현,Practice-Code-1-Complete-Transformer-Encoder,expand-transformer-block-impl,expand-transformer-block-impl-code-1,Transformer Block 완전 구현,실습 코드 1: 완전한 Transformer Encoder,049_expand-transformer-block-impl_expand-transformer-block-impl-code-1_Transformer_Block_완전_구현_-_실습_코드_1-_완전한_Transformer_Encoder.ipynb
050_GPT-Model-From-Scratch-Implementation__Practice-Code-1-GPT-Model-Implementation.ipynb,GPT 모델 직접 구현,Practice-Code-1-GPT-Model-Implementation,expand-gpt-from-scratch,expand-gpt-from-scratch-code-1,GPT 모델 직접 구현,실습 코드 1: GPT 모델 구현,050_expand-gpt-from-scratch_expand-gpt-from-scratch-code-1_GPT_모델_직접_구현_-_실습_코드_1-_GPT_모델_구현.ipynb
051_Multimodal-LLM__Practice-Code-1-LLaVA-Style-Vision-Language-Model-Implementation.ipynb,멀티모달 LLM,Practice-Code-1-LLaVA-Style-Vision-Language-Model-Implementation,expand-multimodal-llm,expand-multimodal-llm-code-1,멀티모달 LLM,실습 코드 1: LLaVA 스타일 비전-언어 모델 구현,051_expand-multimodal-llm_expand-multimodal-llm-code-1_멀티모달_LLM_-_실습_코드_1-_LLaVA_스타일_비전-언어_모델_구현.ipynb
052_Multimodal-LLM__Practice-Code-2-CLIP-Embedding-Image-Text-Similarity-Calculation.ipynb,멀티모달 LLM,Practice-Code-2-CLIP-Embedding-Image-Text-Similarity-Calculation,expand-multimodal-llm,expand-multimodal-llm-code-2,멀티모달 LLM,실습 코드 2: CLIP 임베딩으로 이미지-텍스트 유사도 계산,052_expand-multimodal-llm_expand-multimodal-llm-code-2_멀티모달_LLM_-_실습_코드_2-_CLIP_임베딩으로_이미지-텍스트_유사도_계산.ipynb
053_Multimodal-LLM__Practice-Code-3-GPT-4V-Multimodal-API-Usage.ipynb,멀티모달 LLM,Practice-Code-3-GPT-4V-Multimodal-API-Usage,expand-multimodal-llm,expand-multimodal-llm-code-3,멀티모달 LLM,실습 코드 3: GPT-4V 멀티모달 API 사용,053_expand-multimodal-llm_expand-multimodal-llm-code-3_멀티모달_LLM_-_실습_코드_3-_GPT-4V_멀티모달_API_사용.ipynb
054_LLM__Practice-Code-1-Function-Calling.ipynb,LLM 에이전트,Practice-Code-1-Function-Calling,expand-llm-agents,expand-llm-agents-code-1,LLM 에이전트,실습 코드 1: Function Calling 에이전트,054_expand-llm-agents_expand-llm-agents-code-1_LLM_에이전트_-_실습_코드_1-_Function_Calling_에이전트.ipynb
055_section__Practice-Code-1-RoPE-Scaling-Implementation-Context-Window.ipynb,롱 컨텍스트 처리,Practice-Code-1-RoPE-Scaling-Implementation-Context-Window,expand-long-context,expand-long-context-code-1,롱 컨텍스트 처리,실습 코드 1: RoPE Scaling 구현: 컨텍스트 윈도우 확장,055_expand-long-context_expand-long-context-code-1_롱_컨텍스트_처리_-_실습_코드_1-_RoPE_Scaling_구현-_컨텍스트_윈도우_확장.ipynb
056_section__Practice-Code-2-Needle-in-a-Haystack-Implementation.ipynb,롱 컨텍스트 처리,Practice-Code-2-Needle-in-a-Haystack-Implementation,expand-long-context,expand-long-context-code-2,롱 컨텍스트 처리,실습 코드 2: Needle-in-a-Haystack 테스트 구현,056_expand-long-context_expand-long-context-code-2_롱_컨텍스트_처리_-_실습_코드_2-_Needle-in-a-Haystack_테스트_구현.ipynb
057_section__Practice-Code-3-KV-Cache-Compression-Selective-Retention-of-Important-Tokens.ipynb,롱 컨텍스트 처리,Practice-Code-3-KV-Cache-Compression-Selective-Retention-of-Important-Tokens,expand-long-context,expand-long-context-code-3,롱 컨텍스트 처리,실습 코드 3: KV Cache 압축: 중요 토큰 선택적 유지,057_expand-long-context_expand-long-context-code-3_롱_컨텍스트_처리_-_실습_코드_3-_KV_Cache_압축-_중요_토큰_선택적_유지.ipynb
058_Vectors-The-Foundation-of-Neural-Networks__Vector-Basics-and-Geometric-Meaning.ipynb,Vectors: The Foundation of Neural Networks,Vector-Basics-and-Geometric-Meaning,math-1-1,math-1-1-1,벡터: 신경망의 기초,벡터의 기초와 기하학적 의미,058_math-1-1_math-1-1-1_벡터-_신경망의_기초_-_벡터의_기초와_기하학적_의미.ipynb
059_Matrices-Linear-Transformations__Matrix-Multiplication-and-Linear-Transformations.ipynb,Matrices: Linear Transformations,Matrix-Multiplication-and-Linear-Transformations,math-2-1,math-2-1-1,행렬: 선형 변환,행렬 곱셈과 선형 변환,059_math-2-1_math-2-1-1_행렬-_선형_변환_-_행렬_곱셈과_선형_변환.ipynb
